Removed Pin From Net: NetName=NetLDR1_1 Pin=U3-J2-1
Removed Pin From Net: NetName=NetLDR1_2 Pin=U3-J2-3
Removed Pin From Net: NetName=NetP3_5 Pin=U3-J2-8
Removed Pin From Net: NetName=NetP3_6 Pin=U3-J2-9
Removed Pin From Net: NetName=NetP3_7 Pin=U3-J2-10
Removed Pin From Net: NetName=NetR7_1 Pin=U3-J2-11
Removed Pin From Net: NetName=NetP3_4 Pin=U3-J2-12
Removed Pin From Net: NetName=NetP3_3 Pin=U3-J2-13
Removed Pin From Net: NetName=NetP3_2 Pin=U3-J2-16
Removed Pin From Net: NetName=NetP3_1 Pin=U3-J2-17
Removed Pin From Net: NetName=NetD5_C Pin=U3-J2-19
Removed Pin From Net: NetName=NetP3_8 Pin=U3-J3-1
Removed Pin From Net: NetName=NetS2_03 Pin=U3-J3-11
Removed Pin From Net: NetName=NetS1_03 Pin=U3-J3-12
Removed Pin From Net: NetName=Netpitch1_03 Pin=U3-J3-15
Removed Pin From Net: NetName=Netroll1_03 Pin=U3-J3-16
Change Component Footprint: Designator=U3 Old Footprint=MODULE_ESP32-DEVKITC-32D New Footprint=MODULE_ESP32-DEVKITC-32U
Change Component Comment : Designator=U3 Old Comment=ESP32-DEVKITC-32D New Comment=ESP32-DEVKITC-32U
Change component parameters: Designator = "U3" ("U3"); Footprint = "MODULE_ESP32-DEVKITC-32D"; UniqueID = "\GXRDJDVS" ("\GXRDJDVS")
Change component parameters (AddParameter): Name = "Check_prices"; Value = "https://www.snapeda.com/parts/ESP32-DEVKITC-32U/Espressif+Systems/view-part/?ref=eda"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MF"; Value = "Espressif Systems"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MP"; Value = "ESP32-DEVKITC-32U"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "CUSTOM-38 ESPRESSIF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/ESP32-DEVKITC-32U/Espressif+Systems/view-part/?ref=snap"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=B+1(61300211121)
Add component (AddParameter): Name = "Color"; Value = "Black"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Connector Type"; Value = "Male Pin"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Gender"; Value = "Male"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Material"; Value = "Copper"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Mating Length"; Value = "5.9944mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Plating"; Value = "Gold"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Resistance"; Value = "20mO"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current Rating"; Value = "3A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Gender"; Value = "Male"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "8.94mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Housing Material"; Value = "PBT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Pitch"; Value = "2.54mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-40°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Through Hole"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "NexarPartId"; Value = "20081794"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Contacts"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Pins"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Positions"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Rows"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Supply Voltage"; Value = "250V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Orientation"; Value = "Vertical"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Bulk"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pitch"; Value = "2.54mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "Through Hole"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "250V"; VariantName = "[No Variations]"
Added Component: Designator=B+2(61300211121)
Add component (AddParameter): Name = "Color"; Value = "Black"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Connector Type"; Value = "Male Pin"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Gender"; Value = "Male"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Material"; Value = "Copper"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Mating Length"; Value = "5.9944mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Plating"; Value = "Gold"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Resistance"; Value = "20mO"; VariantName = "[No Variations]"
